Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16891.842559534347,39151.505427074204,22387.870729790884
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17215.538984467697,37264.1520146354,22141.094872347643
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14440.284038034573,35754.373749948434,19945.81206986456
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14965.743590835486,33427.30858575699,20660.39947140281
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13277.336329157406,30154.41619281078,23892.99261693234
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11840.525812323851,24698.691995200432,20073.766310777417
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10776.980922748611,22241.4406330405,23306.359456306942
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10162.83366287044,18921.20672227781,19487.133150152018
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10617.624023385302,22215.718405171658,22719.726295681547
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13385.797339216588,22919.29044720696,20517.289724180868
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16153.970655047871,28336.16359530735,18775.142961276873
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18922.143970879155,34396.901423613956,17034.010075337606
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21690.31728671044,41070.593518821115,15380.789294952443
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24458.490602541722,45103.4341973499,13658.92007134294
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27226.663918373008,45392.96984205975,11785.702141041347
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27681.733158312854,45392.96984205975,11758.770809196976
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27681.733158312854,42910.24923515673,7939.544503042051
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24910.03848083585,38413.84425180779,9619.28607323332
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22097.70312461351,37085.04090765725,12851.879218762848
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19535.882655521356,31516.941850212712,9032.652912607922
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17394.82448826356,28558.344272020455,12265.24605813745
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15946.249820169296,25025.755870231467,15497.839203666981
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15272.283341476119,23307.574481232503,18730.43234919651
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12001.757212185847,21139.13925501104,21963.02549472604
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12678.285639621266,19694.925346524127,25195.61864025557
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13642.757425420441,20696.55031768327,21376.392334100645
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14723.825993655642,21024.338962389975,24608.98547963017
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15798.811251502877,21819.09345446735,27841.5786251597
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16630.464093831444,23131.5047512692,24022.352319004774
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16720.966953892745,23416.363990116264,27254.945464534303
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15463.002677954773,21134.86409015562,23435.71915837938
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13447.666258714953,14716.15181838698,26668.312303908904
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13363.531297882066,11806.071811879858,29900.905449438433
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16131.704613713353,16447.473085294543,26081.67914328351
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18243.91785294268,18293.146583296966,22621.19804001674
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21012.091168773964,21074.876206239558,18943.389450226918
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23780.264484605246,23384.31879862105,22175.982595756446
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26548.43780043653,27990.126160907275,18356.75628960152
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25111.42305063565,30317.35641266026,21589.349435131047
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25580.11457743833,32616.56083676943,17770.123128976124
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22309.588448148057,28719.116188002583,21002.716274505652
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19039.06231885779,26863.70141406134,17183.48996835073
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15768.536189567516,25755.38477960899,20416.083113880253
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12982.647121185255,25398.537064810094,16596.85680772533
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10748.311527978636,17513.74016593585,19829.449953254858
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9325.083986500904,17540.754672803316,16010.223647099934
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8918.783164878258,17418.193707145027,19242.816792629463
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9434.10386703256,18542.597819559036,15423.590486474535
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10535.450136560983,20049.88534385808,18656.183632004064
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12007.87833975537,21702.739563282346,14836.95732584914
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9687.32334245975,23441.366795104008,18069.55047137867
